id,title,content,vote,answer,view
73480741,"Python dictionary where values are lists, how to remove Xth item from every list value","I have dictionary in the form of:dict_one =  { key2: [val1, val2, val3], key2: [val1, val2, val3] }I want to remove 'val3' from every element in the dictionary. I believe this should be possible ...",0,3,34
73480737,is it possible that an 8 puzzle is unsolvable [closed],I am trying to create a Python program that solves the famous 8-puzzle. How do I check if the 8-puzzle is solvable? I tried the inversion method for this puzzle.which resulted in the following5 -&...,-2,0,33
73480734,How to send a list of emails using python and how to add image to my email,"I have a list of email but I dont know how to send it. I used this code but its not working. Also, I would like to know how to add an image.reading the spreadsheetemail_list = pd.read_excel('path')...",0,0,11
73480729,How do you get a cross section of data from a Pandas dataframe with a key for a MultiIndex?,"I have a dataframe like thisA, B, Cd, 1, 2d, 3, 4e, 5, 6e, 7, 8I am trying to getB, C1, 23, 4andB, C5, 67, 8By iterating through d, e, etc.I can get the keys just fine looping though ...",0,2,22
73480719,Leetcode difference between submission and console answer checking,"I have some code for Leetcode question 2266. (Python) https://leetcode.com/problems/count-number-of-texts/class Solution:    def countTexts(self, pressedKeys: str) -> int:        # steps:       ...",0,0,14
73480711,List Index Out of Range on Function except the index shouldn't be out of range,I am working on a small function to assign random stats for a tabletop game I'm playing.  I'm fairly certain my code is clunky and I have variables I could probably merge somewhere.  I'm pretty new to ...,-1,0,25
73480688,Manipulating Switch Gyro controls with a mouse via USB Gadget,"Maybe I'm looking at this from the wrong angle, but I found code from a Japanese blog that translates the pro controller's gyro controls on switch to a mouse. One problem with this is that the ...",1,0,32
73480673,Cropping a TIFF to a ShapeFile,Hope you are well I was wondering how to take a tiff file and remove the area that is not of interest in this case I am taking tiff files with crs epsg:4326 and trying to cut it in to the shape of ...,0,0,9
73480666,Selenium Multi Browser won't run unless I open the browser window,I am running a code where multiple selenium browsers open via pyqt6 QThread class and run simultaneously. The problem is these browsers completely cover each other ( for example when the code opens 5 ...,0,0,12
73480640,Convert 16 bit hex value to FP16 in Python?,I'm trying to write a basic FP16 based calculator in python to help me debug some hardware. Can't seem to find how to convert 16b hex values unto floating point values I can use in my code to do the ...,0,1,21
73480637,"Generate n numbers in ascending order with their sum equal to m and difference between adjacent numbers increases by a constant number, in Python [closed]","I want to generate n numbers from 0 to m in such a way that all numbers are in ascending order and the difference between two adjacent numbers also increases by a constant number.For example, if I ...",0,0,34
73480622,plot each chart on a different scale with Seaborn Distplot,"I have some data that has widely different scales. I want to create a displot showing all the features on graphic. I though facet_kws={'sharex': False} was the relevant parameter, but it doesn't ...",0,0,12
73480615,Sublime Text 3 - Anaconda - Code Autoformatting failed for Python,"I know there have been a lot of questions regarding this, but they all tend to point towards changing the last line of the Anaconda user settings from the default""python_interpreter"": ""...",0,0,5
73480607,Splitting strings based on another list with multiple words,"I have a dictionary of self-input locations and a list of possible locations from geonamescache.For example, a self-input user location could be ""san bernadino ca"" and the list of all ...",0,1,26
73480604,is there difference between print and return inside a function [duplicate],"I'm doing some Kaggle exercises and the question is asking me to ""In the cell below, define a function called sign which takes a numerical argument and returns -1 if it's negative, 1 if it's ...",0,1,22
73480603,Erroe while run conf file for odoo14 by pycharm,"when i run conf file to  make configuration for odoo 14 on pycharm i git this error,Traceback (most recent call last):File ""/home/salma/Documents/odoo14_1/odoo/odoo-bin"", line 5, in ...",-1,0,12
73480599,add specific rows and column into another excel file using openpyxl in python,"I'm trying to merge multiple file into one excel file using openpyxl in pythonI know there is a way using panda, but my files have a problem there have been always 2 empty rows in the beginning of ...",0,0,12
73480589,python plotly: how to display additional label on hover,"I have two area subplots and when I hover over the plot, it displays the value of Val_2 and Val_Yellow. The dataframe contains a column called ""Diff"" that is the difference between Val_2 and ...",0,1,14
73480575,POST request list python-requests,"I am trying to POST Boxes = [{'X': 2423, 'Y': 532, 'W': 7456, 'H': 2345}] to the DRF server, I receive status code 200, However, on the server, I receive weird format: ""Boxes"": ""[{\&...",0,2,24
73480570,Blind Auction code works only with same # of digit inputs [duplicate],My goal is to write code that allows people to place blind bids and then display the winner from the max value of the dictionary at the end. It works perfectly within inputs of the same digits (ex. 10 ...,-1,1,14
73480568,Websocket 403 Handshake Cloudflare Python,Usually when connecting to this websocket (wss://sio-bf.blox.land/socket.io/?EIO=3&transport=websocket) you need to pass a cookie to get connected to it. The cookie is a cloudflare __cf_bm cookie. ...,-1,0,14
73480564,Give matplotlib histogram a list of tuples for bins?,"I have tried to pass a list of bins to matplotlib's hist() as such: bins = [(0, 5), (5, 10), (10, 15), (15, 20)], however matplotlib gives an error. Is there a way to do what I'm trying to do?",0,1,21
73480560,Command not executed on if statement being true,So I'm writing a simple program in Python that checks active window ID and in this program I have an if statement inside a while True loop that checks if the active window ID matches the expected ...,0,0,18
73480556,how to sucessfully install seaborn without error,"when i am running import seaborn as sns it throws me an error""ImportError: DLL load failed while importing _cobyla: %1 is not a valid Win32 application.""kindly help me with the problem",0,0,12
73480551,"Error ""failed building wheel for cvxpy"" encountered when attempting to install CVXPY","I've encountered the error below while attempting to install the convex optimization library CVXPY. I previously encountered this (distinct) error, and was able to rectify it by updating my pip ...",0,0,22
73480527,PyQt5 : programmatically double click for Qtablewidget Item?,"with pyqt5, i made features : if i double click specific item on Qtablewidget, a new qwidget shows some information.and i want to make this job automatically - the code implenments ""double click&...",-1,0,12
