answer,content,id,title,view,vote
0,I am trying to find a link prediction algorithm for signed networks. I have about 17 signed networks with an average of 11 nodes and 50 edges. I am using networkx to analyze them and I am trying to ...,73467892,Link prediction algorithm for signed networks,7,
0,"We are automating angular app using selenium webdriver python. And I was wondering if there is any way to reach to the component instances,Using this I guess we can verify the data which is rendered ...",73467878,how to get component instance of angular app using selenium python,12,
0,"I have a formset to render multiple forms at once. By default only two forms are rendered.Using JavaScript, I'm adding another two forms to the formset, so the total number of forms is now four.When ...",73467873,Django formsets not saving all forms to the database,4,
1,"I am writing a python code for merging ppts. It takes the location of the 2 ppts, merges them and puts the merged ppt formed in the folder given by user. The code used is:import sysfrom pptx import ...",73467872,ModuleError: No module named pptx found,16,
0,"Question: I want to use either variable x as a parameter for where condition in SQL query. Also, can I use data frame as a parameter for where condition in SQL in pythonQuery:x= ('610094437','...",73467861,How to pass variable as a parameter in SQL in python,7,
1,this is my code's picturehow can I write all the informations in the same line? in python.,73467857,How can I write a code the output will be in one line?,17,
0,"I am currently working on scheduling some python tasks for different purposes, but I want to get notified about the failure of python code execution if it doesn't reach the end of line.I have ...",73467823,Is there any way to get email/whatsapp notification when a scheduled python file in task scheduler fails to execute?,8,
0,`class IronsSpider(scrapy.Spider):name = 'irons'allowed_domains = ['ironplanet.com.au']start_urls = ['https://www.ironplanet.com.au/jsp/s/search.ips#pstart=0&sm=0&k=steel&mf=1']def ...,73467817,how to fix url in scrapy because my url is changed,6,
0,"i'm looking to build a mimic UDP DNS cleint/server application in python that will essentially supoport A and CNAME, and translate the host name to ip address and host aliasing, with the client ...",73467813,Mimic UDP DNS server Python application client/server,8,
0,Hello I'm working on object detection using tensorflow 2 object detection API model_main_tf2.py file normally we can use early stopping callback for model.fit() when we use normally but when i tried ...,73467812,Is there any way to implement early stopping callback for Tensorflow 2 model_main_tf.py?,10,
0,"strong textcode-->>    for i in data_dict[""design_state_data""]:        print(i)output-->>      session_info      target      train      metrics      feature_handling   ...",73467803,"How can I print the ""target"" form the below image",23,
0,"I have a python script that creates pg_dump file by Postgres DB, but here's the issue: this script takes only defined table and write it into the file.There's no opportunity to restore DB from the ...",73467799,How to change existing python script for Postgres Dump?,13,
6,i am writing function in python for control outputs on QUIDO board throught post html requests. I have a lot of if and elif statements in my program. Is there some way how to make code more ...,73467789,How to replace a lot of if/elif statements in python?,32,
0,"I want to use the Tkinter progress bar as an indicator of the number of iterations in for loop e.g.     for i in range(123)progress bar steps to ""i"" and full bar and stops when reaching &...",73467751,Tkinter progress bar with integer increment not time,11,
1,"I am coding a program to check how many social media followers a user has along with keep track of how many individuals follow that user, unfollow that user and block that user. I would like some ...",73467706,Social media follower counter program [closed],35,
0,"I have a function that perfroms a search likedef search(cls: Type[T], session, search_query):        combined_search_vector = (            x.y.search_vector            | sa.func.coalesce(xClass....",73467655,OperationalError: (psycopg2.OperationalError) terminating connection due to idle-in-transaction timeout,10,
0,I want to make an application to track people on multiple cameras if one person goes into another camera angle they can not lose his or her ID I don't want to use a re-identification system,73467630,Multi Camera Multi perosin tracking python,18,
0,"a fresh question about Django. It maybe silly...I wonder what is running behind the scene when I create a Django project with one line command. Well, I have done with couples of Django projects, the ...",73467626,What is running behind when creating Django project with one line command,14,
2,"import requestsfrom bs4 import BeautifulSoupurl = ""https://youtube.com/""r = requests.get(url)htmlContent = r.contentsoup=BeautifulSoup(htmlContent, 'html.parser')title = soup.title()...",73467618,Not able to fetch titles of a website using BS4,17,
0,"If you ever trained a model, you sometimes can see DataLoader (e.g. I am using pytorch Dataloader) could be the bottleneck because everytime you get an training sample from the dataset, the data ...",73467584,Can I pre-transform images when training a deep learning model?,15,
1,"I want to round the number in bid_2 and ask_2 depends of the bid_1 and ask_1. If bid_1 has 4 digit after the dot, make the bid_2 with 4 digits after the dot.My df is like this:          symbol   ...",73467581,Python Pandas round decimal using reference rows,24,
0,"I need help in converting python code to Scala program in azure databricks environment,FYI, I have below df in scalaval df = spark.read.format(""delta"").load(""my-file-path"")     ...",73467535,Getting Json object and creating columns for it in Scala?,32,
1,"How can i make vlookup like in excel to pandas, i'm totally begginer in python. My first and second dataframe like thisdata_01 = pd.DataFrame({'Tipe Car':['A', 'B', 'C', 'D'], 'Branch':['UD', 'UA', '...",73467534,Excel vlookup in python dataframe,20,
0,"Where do I give input here to train my dad. Where do I import my datset?def __init__(self, word_features_dim, dense_features_dim):    lstm_input_phrase = keras.layers.Input(shape=(None, ...",73467530,Can you pls tell me where do I give input in this code? [closed],22,
5,"line0 = ""hello""line1 = ""stack""line2 = ""overflow""linenum = 1for x in range(3):    linenum = ""line%d""%(x)    print(linenum)I would like to print hello ...",73467526,Print a variable inside a variable [duplicate],48,
0,I'm trying to predict joint torque from 8 input features with an LSTM model.I've tried using TimeseriesGenerator but kept getting an errorKey: 10 when I tried running the .fit_generator function in ...,73467521,How to create LSTM model with time series data with joint torque prediction,20,
